name,sex,p_birth,p_death,d_birth,d_death,Hebrew Speaker
פרידריך ניטשה,male,Röcken,Weimar,1844-10-15,25/08/1900,FALSE
פרידריך שילר,male,Marbach am Neckar,Weimar,1759-11-10,1805-05-09,FALSE
פרנסיס ז’ם,male,France,France,1868-12-02,01/11/1938,FALSE
פרנסיס תומפסון,male,London,London,1859-12-16,13/12/1907,FALSE
פרסי ביש שלי,male,Horsham,La Spezia,1792-08-04,1822-07-08,FALSE
צבי אלעזר טלר,male,Zolochiv,Przemyśl,1840-07-18,01/01/1914,TRUE
צבי שץ,male,Russian Empire,Jaffa,1890-01-01,02/05/1921,TRUE
ציליה דראפקין,female,Babruysk,New York City,1887-12-05,17/08/1956,FALSE
קדיש יהודה סילמן,male,Lithuania,Jerusalem,1880-11-28,13/11/1937,TRUE
קורנל אוייסקי,male,Poland,Poland,1823-09-04,1897-04-03,FALSE
קלמן שולמן,male,Bykhaw,Vilnius,1819-01-01,1899-01-02,TRUE
רבינדראנאת טאגור,male,India,India,1861-05-07,07/08/1941,FALSE
רוברט ברנז,male,Alloway,Dumfries,1759-01-25,1796-07-21,FALSE
רחל בלובשטיין,female,Saratov,Tel Aviv,1890-09-20,16/04/1931,TRUE
רחל לוצטו מורפורגו,female,Italy,Italy,1790-04-08,1871-08-22,TRUE
ריינר מריה רילקה,male,Prague,Montreux,1875-12-04,29/12/1926,FALSE
ריכרד דֵמֶל,male,Germany,Germany,1863-12-11,02/05/1920,FALSE
שאול טשרניחובסקי,male,Mykhailivka,Jerusalem,1875-08-20,14/10/1943,TRUE
שאול יצחק קמפף,male,Kreis Lissa,Prague,1818-05-06,1892-10-16,FALSE
שארל בודלר,male,Paris,Paris,1821-04-09,1867-08-31,FALSE
שותא רוסתאוולי,male,Rustavi,Jerusalem,1172-01-01,1216-01-01,FALSE
שטפן גאורגה,male,Büdesheim,Minusio,1868-07-12,04/12/1933,FALSE
שלום עליכם,male,Pereiaslav,New York City,1859-03-02,13/05/1916,TRUE
שלום שבזי,male,Taizz,Taizz,1619-01-10,1720-01-10,TRUE
שלמה אבן-אלמעלם,male,Sevilla,Morocco,1050-01-01,1150-01-01,TRUE
שלמה אבן גבירול,male,Málaga,Valencia,1021-01-01,11/18/1057  ,TRUE
שלמה אבן צקבל,male,Córdoba,Córdoba,1075-01-01,1149-01-01,TRUE
שלמה אנ-סקי,male,Chashniki,Warsaw,1863-10-15,08/11/1920,FALSE
שלמה מנדלקרן,male,Mlyniv,Vienna,1846-01-01,01/01/1902,TRUE
שמואל בן עזריאל מולדר,male,Netherlands,Netherlands,1792-06-20,1862-12-29,TRUE
שמואל דוד לוצטו,male,Trieste,Padua,1800-08-22,1865-09-29,TRUE
שמואל הנגיד,male,Córdoba,Granada,0933-06-09,1056-06-09,TRUE
שמואל לייב גורדון,male,Lida,Tel Aviv,1867-01-01,19/11/1933,TRUE
שמחה בן-ציון,male,Teleneşti,Tel Aviv,1870-11-27,02/06/1932,TRUE
שמעון בן צמח דוּרָאן,male,Palma,Algire,1361-12-04,1444-02-05,TRUE
שמעון גינצבורג,male,Lipnik,New York City,1890-11-18,11/01/1944,TRUE
שמעון שמואל פרוג,male,Bobrovyi Kut,Odessa,1860-11-15,22/09/1916,TRUE
שמריהו לוין,male,Svislač,Haifa,1867-01-01,09/06/1935,TRUE
שרה שפירא,female,Russian Empire,Russian Empire,1866-01-12,22/11/1932,TRUE
שרל ון לרברג,male,belgium,belgium,1861-11-22,01/03/1907,FALSE
תאופיל גוטייה,male,Tarbes,Neuilly-sur-Seine,1811-08-30,1872-10-23,FALSE
תומאס הוד,male,London,London,1799-05-23,1845-05-09,FALSE
